Code,Name,Inner/Outer,Population,Area (ha),Population density (/ha),Average Age,Population born abroad (%),Largest migrant population,New migrant rates,Employment rate (%),Gross Pay (Male),Gross Pay (Female),Median House Price,Greenspace (%),Happiness score,Political control,Turnout at local elections
E09000001,City of London,Inner London,8800.0,290.0,30.3,43.2,,United States,152.2,64.6,,,799999.0,4.8,6.0,,
E09000002,Barking and Dagenham,Outer London,209000.0,3611.0,57.9,32.9,37.8,Nigeria,59.1,65.8,30104.0,24602.0,243500.0,33.6,7.1,Lab,36.5
E09000003,Barnet,Outer London,389600.0,8675.0,44.9,37.3,35.2,India,53.1,68.5,36475.0,31235.0,445000.0,41.3,7.4,Cons,40.5
E09000004,Bexley,Outer London,244300.0,6058.0,40.3,39.0,16.1,Nigeria,14.4,75.1,37881.0,28924.0,275000.0,31.7,7.2,Cons,39.6
E09000005,Brent,Outer London,332100.0,4323.0,76.8,35.6,53.9,India,100.9,69.5,30129.0,29600.0,407250.0,21.9,7.2,Lab,36.3
E09000006,Bromley,Outer London,327900.0,15013.0,21.8,40.2,18.3,India,14.4,75.3,42026.0,32491.0,374975.0,57.8,7.4,Cons,40.8
E09000007,Camden,Inner London,242500.0,2179.0,111.3,36.4,41.4,United States,60.7,69.2,,36632.0,700000.0,24.8,7.1,Lab,38.7
E09000008,Croydon,Outer London,386500.0,8650.0,44.7,37.0,29.4,India,32.3,75.4,35839.0,29819.0,300000.0,37.1,7.2,Lab,38.6
E09000009,Ealing,Outer London,351600.0,5554.0,63.3,36.2,47.4,India,65.2,72.7,32185.0,29875.0,430000.0,30.9,7.3,Lab,41.2
E09000010,Enfield,Outer London,333000.0,8083.0,41.2,36.3,35.0,Turkey,43.8,73.0,35252.0,30222.0,320000.0,45.6,7.3,Lab,38.2
E09000011,Greenwich,Outer London,280100.0,4733.0,59.2,35.0,35.4,Nigeria,37.6,72.1,35596.0,29833.0,340000.0,34.4,7.2,Lab,37.3
E09000012,Hackney,Inner London,274300.0,1905.0,144.0,33.1,35.8,Turkey,46.0,69.0,,31919.0,485000.0,23.2,7.0,Lab,39.4
E09000013,Hammersmith and Fulham,Inner London,185300.0,1640.0,113.0,35.7,43.2,France,71.4,77.5,43845.0,34808.0,730000.0,19.1,7.2,Lab,37.6
E09000014,Haringey,Inner London,278000.0,2960.0,93.9,35.1,39.6,Poland,78.5,71.3,,29513.0,432500.0,25.5,7.2,Lab,38.1
E09000015,Harrow,Outer London,252300.0,5046.0,50.0,38.3,49.6,India,65.4,73.9,,29335.0,396150.0,34.6,7.3,Lab,40.7
E09000016,Havering,Outer London,254300.0,11235.0,22.6,40.3,10.9,Ireland,17.0,76.5,36539.0,27455.0,287500.0,59.3,7.2,No Overall Control,43.1
E09000017,Hillingdon,Outer London,301000.0,11570.0,26.0,36.4,32.4,India,35.8,73.2,36107.0,28778.0,350000.0,49.2,7.3,Cons,36.1
E09000018,Hounslow,Outer London,274200.0,5598.0,49.0,35.8,46.3,India,62.4,74.2,32235.0,27226.0,355000.0,39.6,7.4,Lab,36.8
E09000019,Islington,Inner London,231200.0,1486.0,155.6,34.8,36.6,Ireland,54.3,72.6,38284.0,,583000.0,12.4,7.1,Lab,38.4
E09000020,Kensington and Chelsea,Inner London,159000.0,1212.0,131.1,39.3,51.9,United States,66.2,68.2,,,1200000.0,15.1,7.6,Cons,29.8
E09000021,Kingston upon Thames,Outer London,175400.0,3726.0,47.1,37.1,29.8,Sri Lanka,27.5,74.4,41288.0,33400.0,410000.0,36.4,7.4,Cons,43.1
E09000022,Lambeth,Inner London,328900.0,2681.0,122.7,34.5,32.2,Jamaica,46.5,78.5,35995.0,30173.0,450000.0,17.3,7.2,Lab,34.5
E09000023,Lewisham,Inner London,303400.0,3515.0,86.3,35.0,34.9,Jamaica,38.3,75.9,,31641.0,352000.0,22.5,7.3,Lab,37.2
E09000024,Merton,Outer London,208100.0,3762.0,55.3,36.7,37.4,Poland,48.6,78.8,,30722.0,415000.0,34.6,7.1,Lab,41.3
E09000025,Newham,Inner London,342900.0,3620.0,94.7,32.1,54.1,India,109.6,66.2,30141.0,24006.0,305000.0,23.9,7.2,Lab,40.5
E09000026,Redbridge,Outer London,304200.0,5642.0,53.9,35.8,40.2,India,54.6,68.3,39272.0,29204.0,345000.0,40.6,7.3,Lab,39.7
E09000027,Richmond upon Thames,Outer London,197300.0,5741.0,34.4,38.8,23.7,Ireland,20.6,79.6,,38499.0,575000.0,50.8,7.3,Cons,46.1
E09000028,Southwark,Inner London,314300.0,2886.0,108.9,34.4,38.4,Nigeria,53.5,74.2,36712.0,32696.0,475000.0,24.9,7.3,Lab,36.2
E09000029,Sutton,Outer London,202600.0,4385.0,46.2,38.9,23.1,Sri Lanka,16.1,78.2,36636.0,28540.0,320000.0,32.0,7.3,Lib Dem,42.6
E09000030,Tower Hamlets,Inner London,304000.0,1978.0,153.7,31.4,38.6,Bangladesh,80.5,70.4,38461.0,32657.0,415000.0,15.2,7.2,Tower Hamlets First,47.2
E09000031,Waltham Forest,Outer London,276200.0,3881.0,71.2,35.1,37.2,Pakistan,83.9,73.1,33126.0,,366569.0,31.4,7.1,Lab,37.6
E09000032,Wandsworth,Inner London,321000.0,3426.0,93.7,35.0,32.8,Poland,43.5,78.8,,36247.0,557000.0,26.9,7.4,Cons,36.9
E09000033,Westminster,Inner London,242100.0,2149.0,112.7,37.7,49.8,United States,72.0,65.6,46627.0,39132.0,920000.0,38.2,7.1,Cons,32.3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
